user_name,from_key,to_key,flight_time,dwell_time
vishnu, ,a,141.0,
vishnu,a,a,,101.0
vishnu,a, ,5.0,
vishnu, , ,,114.0
vishnu, ,t,397.0,
vishnu,t,t,,134.0
vishnu,t,y,27.0,
vishnu,t,p,180.0,
vishnu,y,y,,175.0
vishnu,p,p,,195.0
vishnu,p,i,72.0,
vishnu,i,i,,135.0
vishnu,i,n,3.0,
vishnu,i,g,96.0,
vishnu,n,n,,198.0
vishnu,n, ,49.0,
vishnu,g,g,,231.0
vishnu, , ,,144.0
vishnu, ,s,210.0,
vishnu,s,s,,129.0
vishnu,s,p,16.0,
vishnu,p,p,,129.0
vishnu,p,e,204.0,
vishnu,e,e,,80.0
vishnu,e,e,61.0,
vishnu,e,e,,99.0
vishnu,e,d,98.0,
vishnu,e, ,214.0,
vishnu,d,d,,174.0
vishnu, , ,,154.0
vishnu, ,t,65.0,
vishnu,t,t,,139.0
vishnu,t,e,61.0,
vishnu,e,e,,148.0
vishnu,e,s,4.0,
vishnu,s,s,,170.0
vishnu,s,t,20.0,
vishnu,s, ,215.0,
vishnu,t,t,,303.0
vishnu, , ,,192.0
vishnu, ,b,295.0,
vishnu,b,b,,137.0
vishnu,b,e,4.0,
vishnu,e,e,,129.0
vishnu,e,f,140.0,
vishnu,f,f,,133.0
vishnu,f,o,6.0,
vishnu,f,r,121.0,
vishnu,o,o,,149.0
vishnu,r,r,,155.0
vishnu,r,e,17.0,
vishnu,r, ,141.0,
vishnu,e,e,,184.0
vishnu, , ,,149.0
vishnu, ,a,63.0,
vishnu,a,a,,102.0
vishnu,a,n,17.0,
vishnu,a,d,106.0,
vishnu,n,n,,113.0
vishnu,n, ,23.0,
vishnu,d,d,,109.0
vishnu, , ,,155.0
vishnu, ,a,400.0,
vishnu,a,a,,127.0
vishnu,a,f,51.0,
vishnu,f,f,,130.0
vishnu,f,t,188.0,
vishnu,t,t,,53.0
vishnu,t,e,295.0,
vishnu,t,r,405.0,
vishnu,e,e,,175.0
vishnu,r,r,,205.0
vishnu,r, ,3.0,
vishnu, , ,,112.0
vishnu, ,t,24.0,
vishnu, ,o,158.0,
vishnu,t,t,,187.0
vishnu,t, ,14.0,
vishnu,o,o,,150.0
vishnu, , ,,129.0
vishnu, ,s,175.0,
vishnu, ,e,334.0,
vishnu,s,s,,191.0
vishnu,e,e,,110.0
vishnu,e,e,78.0,
vishnu,e, ,220.0,
vishnu,e,e,,153.0
vishnu, , ,,127.0
vishnu, ,f,24.0,
vishnu,f,f,,118.0
