user_id,user_name,event_time,key,event
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:16.721,i,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:16.819,i,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:17.086,e,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:17.253,e,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:17.292,s,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:17.483,s,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:17.494, ,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:17.619, ,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:17.649,a,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:17.828,a,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:17.862,r,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:17.981,r,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:17.989,e,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:18.196, ,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:18.243,e,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:18.308, ,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:18.406,e,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:18.524,e,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:18.609,m,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:18.730,m,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:18.955,e,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:19.050,r,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:19.069,e,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:19.177,r,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:19.562,g,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:19.658,i,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:19.678,g,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:19.801,i,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:19.804,n,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:19.912,n,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:19.947,g,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:20.107,g,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:20.159, ,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:20.289, ,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:20.484,a,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:20.633,a,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:20.723,s,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:20.919,s,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:21.290, ,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:21.434,a,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:21.462, ,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:21.648, ,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:21.670,a,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:21.795, ,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:22.131,s,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:22.261,s,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:22.773,o,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:22.866,o,r
